symbol,last_date
BTC-USD,
ETH-USD,
USDT-USD,
XRP-USD,
BNB-USD,
SOL-USD,
USDC-USD,
TRX-USD,
STETH-USD,
WTRX-USD,
DOGE-USD,
ADA-USD,
WSTETH-USD,
WBTC-USD,
BCH-USD,
WBETH-USD,
WETH-USD,
LINK-USD,
AETHWETH-USD,
LEO-USD,
XLM-USD,
WEETH-USD,
XMR-USD,
ZEC-USD,
LTC-USD,
HBAR-USD,
AETHUSDT-USD,
AVAX-USD,
BTCB-USD,
DAI-USD,
SHIB-USD,
CRO-USD,
SUSDE-USD,
PYUSD-USD,
DOT-USD,
AAVE-USD,
BGB-USD,
NEAR-USD,
OKB-USD,
BFUSD-USD,
ETC-USD,
ICP-USD,
ENA-USD,
JITOSOL-USD,
JLP-USD,
ONDO-USD,
XAUT-USD,
KAS-USD,
SYRUPUSDC-USD,
WLD-USD,
PAXG-USD,
WBNB-USD,
KCS-USD,
RETH-USD,
QNT-USD,
ALGO-USD,
WFLR-USD,
FLR-USD,
BNSOL-USD,
FIL-USD,
ATOM-USD,
VET-USD,
SLISBNB-USD,
RSETH-USD,
FBTC-USD,
WTFUEL-USD,
RLUSD-USD,
LSETH-USD,
SOLVBTC-USD,
XDC-USD,
SLISBNBX-USD,
FDUSD-USD,
RENDER-USD,
SEI-USD,
GT-USD,
IP-USD,
CAKE-USD,
BONK-USD,
USDCE-USD,
EZETH-USD,
VBTC-USD,
DASH-USD,
WTHETA-USD,
JUPSOL-USD,
OP-USD,
NEXO-USD,
OSETH-USD,
VIRTUAL-USD,
BDX-USD,
FET-USD,
CRV-USD,
INJ-USD,
LDO-USD,
SYRUPUSDT-USD,
MSOL-USD,
TIA-USD,
VBNB-USD,
AB-USD,
XTZ-USD,
USDD-USD,
WXTZ-USD,
USDAI-USD,
ETHFI-USD,
TUSD-USD,
KAIA-USD,
TEL-USD,
STKAAVE-USD,
IOTA-USD,
ETHX-USD,
FLOKI-USD,
TWT-USD,
PENDLE-USD,
ENS-USD,
PYTH-USD,
JST-USD,
BAT-USD,
BSV-USD,
GHO-USD,
CFX-USD,
BTT-USD,
WZEDX-USD,
SAND-USD,
DCR-USD,
HNT-USD,
SUN-USD,
ZBU-USD,
CBETH-USD,
XPL-USD,
FLOW-USD,
WIF-USD,
EETH-USD,
GALA-USD,
JASMY-USD,
SAVAX-USD,
MERL-USD,
FTN-USD,
GNO-USD,
THETA-USD,
EURC-USD,
FARTCOIN-USD,
DEXE-USD,
MANA-USD,
BORG-USD,
CHZ-USD,
SFRXETH-USD,
BETH-USD,
NEO-USD,
CMETH-USD,
RAY-USD,
EIGEN-USD,
WCHZ-USD,
FRAX-USD,
ZBCN-USD,
ASBNB-USD,
AR-USD,
UNIBTC-USD,
H-USD,
CRVUSD-USD,
TRAC-USD,
WAVAX-USD,
VUSDT-USD,
INF-USD,
RBTC-USD,
WEMIX-USD,
GLM-USD,
XEC-USD,
FLUID-USD,
WFTM-USD,
RUNE-USD,
BBSOL-USD,
UDS-USD,
W-USD,
PUMPBTC-USD,
MX-USD,
EGLD-USD,
KMNO-USD,
RSR-USD,
FTT-USD,
ZANO-USD,
DYDX-USD,
JTO-USD,
LPT-USD,
KITE-USD,
SNX-USD,
AMP-USD,
ALE-USD,
AXS-USD,
XSOLVBTC-USD,
ZEN-USD,
CVX-USD,
WFI-USD,
JSOL-USD,
CCD-USD,
ULTIMA-USD,
PROM-USD,
KAITO-USD,
SOSO-USD,
SFP-USD,
QTUM-USD,
LGCT-USD,
KOGE-USD,
BMX-USD,
BSOL-USD,
B-USD,
WPLS-USD,
LINEA-USD,
CTC-USD,
AIOZ-USD,
LUNC-USD,
KSM-USD,
TFUEL-USD,
GAS-USD,
AKT-USD,
TURBO-USD,
KTA-USD,
YFI-USD,
SHFL-USD,
MINA-USD,
UPC-USD,
